avg_T51,avg_T106,avg_T107,avg_T227,avg_T108,size,coordx,coordy,Label_id,batch_label,batch_label_color
1.235605001449585,0.9986167550086975,1.492431879043579,2.515577554702759,1.8939391374588013,9.0,-6.513729095458984,-19.490211486816406,62,4,#aec7e8
2.8942558765411377,2.643253803253174,2.22118878364563,1.7282989025115967,1.8430986404418945,45.0,-35.39425277709961,-58.614051818847656,63,1,#2ca02c
2.663203477859497,2.2254223823547363,2.6830949783325195,2.4802591800689697,2.219162702560425,153.0,-3.19964861869812,-2.403330087661743,64,0,#ff7f0e
1.8382148742675781,1.4156558513641357,2.3124773502349854,2.4756054878234863,1.778260350227356,14.0,-19.179853439331055,-14.97465705871582,65,4,#aec7e8
4.632325172424316,2.5876710414886475,1.6807458400726318,2.3955750465393066,1.7949897050857544,13.0,-50.39844512939453,31.169328689575195,66,2,#ffbb78
0.36332061886787415,2.3605058193206787,2.9466257095336914,2.45546555519104,2.363736152648926,18.0,-31.89733123779297,-32.63981628417969,67,4,#aec7e8
2.6721057891845703,2.780259370803833,1.919535756111145,1.5882349014282227,2.0721232891082764,6.0,45.222537994384766,17.30668067932129,68,1,#2ca02c
3.2262656688690186,2.6107075214385986,2.81550931930542,2.9664764404296875,1.7277253866195679,21.0,51.09937286376953,23.712482452392578,69,3,#1f77b4
2.526566505432129,2.00093150138855,2.3289356231689453,2.223440170288086,2.7514641284942627,50.0,-49.75813293457031,-16.936521530151367,70,4,#aec7e8
2.3601267337799072,2.095122814178467,3.4569599628448486,2.6716482639312744,3.618032217025757,42.0,27.41184425354004,-37.74725341796875,71,4,#aec7e8
2.3945209980010986,2.2560648918151855,2.246798038482666,2.2669432163238525,4.178360462188721,37.0,-70.2396469116211,-33.65351104736328,72,4,#aec7e8
3.4386703968048096,1.957126259803772,3.2287681102752686,3.6619200706481934,3.985888719558716,63.0,7.637038230895996,-62.581581115722656,73,4,#aec7e8
2.5790069103240967,2.4376749992370605,2.7265310287475586,3.7899978160858154,2.705434560775757,24.0,-33.96940231323242,-22.35316276550293,74,4,#aec7e8
2.1485419273376465,2.916714668273926,4.13308048248291,3.1717348098754883,2.05478572845459,18.0,21.085695266723633,33.52229690551758,75,4,#aec7e8
3.4197514057159424,2.4673006534576416,2.3837890625,2.6911678314208984,2.2266311645507812,72.0,-14.143657684326172,25.1425724029541,76,3,#1f77b4
4.703392028808594,2.6038780212402344,5.005886077880859,4.016894817352295,4.553593158721924,33.0,32.79068374633789,13.104331970214844,77,4,#aec7e8
3.389988899230957,2.6907036304473877,3.774120569229126,3.284337282180786,2.944551944732666,32.0,50.24821472167969,35.720191955566406,78,4,#aec7e8
5.117722988128662,2.857032060623169,4.372009754180908,2.95932936668396,3.533064603805542,83.0,-17.50220489501953,47.91990280151367,79,2,#ffbb78
2.7565314769744873,2.6736552715301514,2.520352363586426,1.8462835550308228,1.4568787813186646,15.0,-2.369748115539551,-7.678900241851807,80,1,#2ca02c
2.470754623413086,2.6568148136138916,3.247541666030884,2.959874391555786,2.794158697128296,3.0,49.01498031616211,9.100117683410645,81,4,#aec7e8
4.301158428192139,2.6926486492156982,3.4702517986297607,3.2230348587036133,2.602130889892578,13.0,-32.57916259765625,17.790193557739258,82,2,#ffbb78
4.2469987869262695,1.8808834552764893,2.3978021144866943,3.2095255851745605,2.190528392791748,30.0,-32.30619430541992,65.3414306640625,83,2,#ffbb78
2.7759315967559814,2.988416910171509,2.9569766521453857,2.948735475540161,2.8411037921905518,53.0,38.60411834716797,-44.53071594238281,84,4,#aec7e8
4.226749897003174,3.4387426376342773,5.450875759124756,2.857300043106079,2.1394739151000977,24.0,10.45651912689209,57.187381744384766,85,0,#ff7f0e
2.595731019973755,2.366346597671509,3.2293813228607178,2.161771059036255,2.250263214111328,16.0,6.979991436004639,15.171079635620117,86,0,#ff7f0e
4.758469104766846,4.445437908172607,2.6285390853881836,2.2587013244628906,1.8572009801864624,45.0,-72.44625091552734,33.31258773803711,87,1,#2ca02c
1.848545789718628,2.983705759048462,3.587066888809204,3.6634199619293213,3.3703267574310303,13.0,11.014554977416992,-52.66493606567383,88,4,#aec7e8
1.2777196168899536,1.192899465560913,2.4035940170288086,1.9470689296722412,1.725165605545044,53.0,28.787906646728516,-29.139389038085938,89,0,#ff7f0e
3.170949935913086,1.74359929561615,4.147943019866943,4.063398361206055,4.67718505859375,19.0,2.0088748931884766,-68.99395751953125,90,4,#aec7e8
3.8525612354278564,4.589613914489746,2.2664005756378174,3.961641788482666,4.386263847351074,33.0,-7.713078498840332,-98.33488464355469,91,3,#1f77b4
2.1240975856781006,1.4240474700927734,3.0797648429870605,2.4624900817871094,2.1594796180725098,13.0,-20.257671356201172,-8.481340408325195,92,0,#ff7f0e
3.3437349796295166,2.456763744354248,4.692244052886963,2.92617130279541,2.418686628341675,55.0,25.23137855529785,21.940549850463867,93,0,#ff7f0e
3.117182970046997,2.657191753387451,2.0557096004486084,3.361703395843506,1.927919864654541,25.0,-16.94312858581543,-63.783626556396484,94,3,#1f77b4
3.6394784450531006,3.2680904865264893,4.27567720413208,2.1595442295074463,3.011833429336548,30.0,12.362272262573242,31.574993133544922,95,0,#ff7f0e
3.6915171146392822,2.8322083950042725,4.112219333648682,2.493013620376587,3.6667842864990234,29.0,-25.803871154785156,-39.912715911865234,96,0,#ff7f0e
4.266172885894775,1.7318869829177856,2.279125452041626,2.890889883041382,2.2921242713928223,19.0,-35.17103576660156,67.85614776611328,97,2,#ffbb78
2.7341830730438232,2.5403759479522705,2.0121734142303467,1.9131309986114502,1.8462498188018799,5.0,-67.81551361083984,54.354835510253906,98,1,#2ca02c
2.4396371841430664,2.3957722187042236,2.807965040206909,2.9744458198547363,3.011047840118408,27.0,48.79670333862305,-39.43683624267578,99,4,#aec7e8
3.979808807373047,1.8437434434890747,2.1680126190185547,2.327624797821045,1.9995665550231934,4.0,-40.790496826171875,68.41451263427734,100,2,#ffbb78
5.083094596862793,2.98056960105896,2.4823224544525146,2.921861171722412,2.148847818374634,26.0,-36.150333404541016,36.43186950683594,101,2,#ffbb78
3.8425612449645996,2.8244006633758545,2.556166172027588,2.9656474590301514,2.4750449657440186,43.0,-38.61659240722656,12.759489059448242,102,3,#1f77b4
3.602260112762451,2.2907814979553223,4.235908508300781,4.401251792907715,4.355653285980225,10.0,23.95872688293457,9.731306076049805,103,4,#aec7e8
